record_id,score_af,predicted_af
E00001,0.0005872839322,0
E00002,4.029872601e-05,0
E00003,0.001740157703,0
E00004,0.02454012485,0
E00005,0.4736653992,0
E00006,9.170408466e-05,0
E00007,0.004337984305,0
E00008,0.007966968819,0
E00009,0.0006902595569,0
E00010,0.000544429006,0
E00011,0.002053756084,0
E00012,0.0005367847362,0
E00013,0.01616662167,0
E00014,0.0004473405404,0
E00015,0.0002319372946,0
E00016,0.0453188346,0
E00017,1.598044247e-05,0
E00018,0.0005693428721,0
E00019,4.162439062e-05,0
E00020,4.548736832e-05,0
E00021,4.17880574e-05,0
E00022,0.01107416959,0
E00023,0.0004085675623,0
E00024,0.003319014587,0
E00025,8.868850576e-05,0
E00026,3.944979215e-05,0
E00027,0.03092138666,0
E00028,3.092908008e-05,0
E00029,0.0001632566552,0
E00030,0.002310564764,0
E00031,9.110785903e-05,0
E00032,0.001729721038,0
E00033,0.0818308945,0
E00034,0.003611356255,0
E00035,0.009447732108,0
E00036,0.5174036368,0
E00037,0.0001150123528,0
E00038,0.01016653038,0
E00039,0.0001325433352,0
E00040,0.0008203644039,0
E00041,0.0001151207869,0
E00042,0.0001566843421,0
E00043,3.756748019e-05,0
E00044,0.01307836708,0
E00045,0.0006155036949,0
E00046,0.0003043642143,0
E00047,0.1146716093,0
E00048,0.04040426673,0
E00049,0.0002804204321,0
E00050,8.670485064e-05,0
E00051,0.0003358556231,0
E00052,0.0008656887699,0
E00053,0.177808686,0
E00054,0.0001947381432,0
E00055,0.004731015571,0
E00056,0.003797680646,0
E00057,0.0005486937305,0
E00058,0.01731497754,0
E00059,0.06170753275,0
E00060,0.0005486937305,0
E00061,0.0003250428096,0
E00062,0.0001373374239,0
E00063,0.003124144593,0
E00064,0.001062950303,0
E00065,0.003075589767,0
E00066,0.007204825365,0
E00067,0.0007731320028,0
E00068,0.0001804860925,0
E00069,0.0001315474749,0
E00070,0.0003559377902,0
E00071,0.001056662748,0
E00072,0.0008584797794,0
E00073,7.148529192e-05,0
E00074,0.009856715578,0
E00075,7.773784523e-05,0
E00076,0.006033603641,0
E00077,0.9971706921,1
E00078,0.0001760687729,0
E00079,5.605098321e-05,0
E00080,5.863581801e-05,0
E00081,0.0007208343095,0
E00082,0.01126540046,0
E00083,0.001485322906,0
E00084,0.0001433239926,0
E00085,6.034034119e-05,0
E00086,0.0001302200429,0
E00087,0.0007588905591,0
E00088,7.791239691e-05,0
E00089,0.000932727783,0
E00090,0.0001601782042,0
E00091,4.496632468e-05,0
E00092,0.0002226689288,0
E00093,0.00024282895,0
E00094,0.0004133565332,0
E00095,0.001172940641,0
E00096,9.092397021e-05,0
E00097,0.01870026389,0
E00098,8.975813248e-05,0
E00099,6.890199492e-05,0
E00100,0.2779073386,0
E00101,0.008258729675,0
E00102,0.0008463996138,0
E00103,3.571423269e-05,0
E00104,0.0004000298793,0
E00105,0.0001270625616,0
E00106,0.000151691029,0
E00107,0.004008637786,0
E00108,0.0008112580021,0
E00109,0.0004896576096,0
E00110,0.000130315122,0
E00111,0.0002114197532,0
E00112,1.96474261e-05,0
E00113,9.713090661e-05,0
E00114,0.002324389743,0
E00115,0.0001853604455,0
E00116,0.001579228338,0
E00117,0.9466851697,1
E00118,5.786730685e-05,0
E00119,0.002043275831,0
E00120,2.029290474e-05,0
E00121,0.0001760715709,0
E00122,0.001380241839,0
E00123,8.162375943e-05,0
E00124,4.696927896e-05,0
E00125,0.02423124275,0
E00126,0.0001223963202,0
E00127,2.667286535e-05,0
E00128,6.071750425e-05,0
E00129,2.595095961e-05,0
E00130,0.0001529527594,0
E00131,0.0001406050805,0
E00132,0.0002088752576,0
E00133,0.0002461566004,0
E00134,0.001046268844,0
E00135,0.0001404324667,0
E00136,8.047339883e-05,0
E00137,0.0003388322553,0
E00138,0.002074577745,0
E00139,0.0001181457903,0
E00140,0.000147675561,0
E00141,0.0001380908218,0
E00142,5.996845837e-05,0
E00143,0.02526384844,0
E00144,0.0001360830403,0
E00145,0.001630967825,0
E00146,0.0005122772192,0
E00147,0.05182589402,0
E00148,0.0001773610449,0
E00149,0.01470332629,0
E00150,0.0003095831213,0
E00151,0.001202301873,0
E00152,0.9410683733,1
E00153,0.02590414575,0
E00154,6.526295465e-05,0
E00155,0.001523753112,0
E00156,0.2334535748,0
E00157,9.413392118e-05,0
E00158,0.0004212926825,0
E00159,0.0001274402768,0
E00160,5.496982621e-05,0
E00161,0.6744728892,0
E00162,0.0116558913,0
E00163,0.0001024593768,0
E00164,0.0006335986446,0
E00165,0.0002107813391,0
E00166,9.079038673e-05,0
E00167,0.000210862967,0
E00168,0.0001879430076,0
E00169,0.01350601662,0
E00170,0.00148167538,0
