drive_file_id,drive_title,repository_path,raw_drive_size_bytes,raw_drive_sha256,line_endings_normalized,repository_size_bytes,repository_sha256
1TKS1JCt8bi6h2-79BWlxWHvA_WkOpbul,CrossModal_StageU0-U1_Universal_Observability_Law_Discovery_v0.1_SELF_CONTAINED.ipynb,legacy/original_authoritative/u0_u1/CrossModal_StageU0-U1_Universal_Observability_Law_Discovery_v0.1_SELF_CONTAINED.ipynb,14521,34f517217ca9ec9a72189d741e40ebc28376fb4a9255a5a54c094beb011decd8,true,14521,41c848b0609c603f6ef6fc9713a19dad098bb189ab25bb6ce06b891204bc3661
1r3rctXmNaOCjuZLp-xEa24vky1fqQYvn,StageU2_pipeline_v0.1.py,legacy/original_authoritative/u2/StageU2_pipeline_v0.1.py,51824,4975a13419c96033d308afbcfb0202452688f5c2c5d8f0d9d6e8d9cb426a1f60,true,51825,f45c6e58d0e9097e87d5f6712920a0992b0e09de35ba9f156a534076f3fb311a
1K_aY0mROeDv6vUxWbyiOmLWY58BpGw0b,CrossModal_StageU2_v0.1.7.2_AUTO_GPU_CPU_LIGHTWEIGHT.ipynb,legacy/original_authoritative/u2/CrossModal_StageU2_v0.1.7.2_AUTO_GPU_CPU_LIGHTWEIGHT.ipynb,32338,f7db05a910177e4a55dd045512337dd87ea3bc17b4003b256ba0f7f2c19a67a4,true,32339,9f4cc456b2bf1a0266fc23bb85d30fbc52e853c8313e708f1c1f8e95ee653434
1RMINJanCnPMR4ZUX2_z16-ifwUePt2-I,StageU2_Notebook_Release_Manifest_v0.1.json,legacy/original_authoritative/u2/StageU2_Notebook_Release_Manifest_v0.1.json,794,d536043a800dd85c7f861af813ea7e70b1715997a692bc38c8a499a810acb08f,true,795,ac15bd143384a1c0dca9b68cde1c684adf585303064f41b3eb8b335d77fa0261
1mOeL5NuAG8IqN5SJzCTdoWAk2EqYfIpB,CrossModal_StageU3A_Observability_Universality_Classes_v0.1_SELF_CONTAINED.ipynb,legacy/original_authoritative/u3/CrossModal_StageU3A_Observability_Universality_Classes_v0.1_SELF_CONTAINED.ipynb,17886,968b3a2b4620fd64a2eb83448a307e4235529cab83a79614ed817b16506a8fe0,true,17887,359e59f892bd5374d9d4f03b8639cd3649606d3cc242179747c429454bb9ab5e
1cxzEbQTQpJyTcY3Ka-XCfVVKDtTbnX8P,CrossModal_StageU3C_AUTHORISED_Prospective_Reserve_v1.0.1_FINAL.ipynb,legacy/original_authoritative/u3/CrossModal_StageU3C_AUTHORISED_Prospective_Reserve_v1.0.1_FINAL.ipynb,65683,0934e05aed802d36ba725550903ef772232cae73a327abcfb13f130742cae22e,true,65684,955558ecc8aa45a4f7e1d7aa51990c6a944a9d575299ae35e548be13b70e01a0
1FEuP0wEhGLogVApw_G12bWLzlpA6eANz,StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0.py,legacy/original_authoritative/u4/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0.py,51395,fede52ad47ebd5ac2296e81256a096b2a197bdec72a28a861da3977b2d697c8a,true,51396,86d9f568b8f7c1362f593ee182bbe1f79d6a539f156feb1bd4f01731a8ae2a16
107U7eTMsb1p4yuegL4TPc559yDfhg1VR,StageU4C_AUTHORISED_Prospective_Component_Expiry_Safe_Audit_v1.0.py,legacy/original_authoritative/u4/StageU4C_AUTHORISED_Prospective_Component_Expiry_Safe_Audit_v1.0.py,65182,f7ce1636e375402f23202deea81ed9646a3b436324345139b1572794b3ab9e45,true,65183,974b713be27951880f0d5b3b58196d8b1e17c1059af3e8c67ef3c2f02ce2ea28
1B--XKH0NheYW909hLmPCy1uV4Bnp4ODH,StageU4C_CONTINUE_PostSeal_QMNIST_Correction_v1.1.1.py,legacy/original_authoritative/u4/StageU4C_CONTINUE_PostSeal_QMNIST_Correction_v1.1.1.py,75557,8a1536315005a1de2704f8377d04493326f4ca25056c9219172c607bea0867d2,true,75558,6053b77c9a5a08a9f867ba05dbb73cdcf1c5e27c106a2d524137e14d4005deb4
14Ph8vazPP6Rw4Xj_GQWTGXiG6fzW0ZyW,StageU4C_CONTINUE_PostSeal_Corrections_v1.1.2.py,legacy/original_authoritative/u4/StageU4C_CONTINUE_PostSeal_Corrections_v1.1.2.py,78033,24d64975f906b7acc054d8ea3a32ac6e99904af744275abb1a5e4c939a233e3c,true,78034,4a1fddcccd6914d913f172ee3077d7bd82b956c3b23ad9462d3e382432ce820b
