drive_file_id,drive_path,repository_path,raw_drive_size_bytes,line_endings_normalized,repository_size_bytes,repository_sha256
1rOtwbEIUig8pvRE0KL2yfwCSZ16nrgXM,05_Code/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/U7_IMPLEMENTATION_AMENDMENT_v1.0.1.json,legacy/governance_authoritative/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/U7_IMPLEMENTATION_AMENDMENT_v1.0.1.json,1210,true,1188,cfe41c3f2f252063cd46c6e928aa3b71e62d6b1207959f326d62fc895fda4902
1Pq89Tq1RbMhAOmHm_FN6xfOpdvAuSpKt,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CMDO_U6_Release_Manifest_v1.0.json,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CMDO_U6_Release_Manifest_v1.0.json,1914,true,1915,9b862508d7afe3a1b946d27726d930b2de770c761edbf6dd970fc0c74147d8c9
1HMTbUE9Lu0Uzb2jBVJejN16yN3MmtEE1,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU5F_Frozen_Observer_Specification_v1.0.json,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU5F_Frozen_Observer_Specification_v1.0.json,1915,true,1916,237c335f1efc8023ed947793349b2fe4b1e2590862256d8ab394366c3f1f783a
1oSMinymys2w8ILhpVX3SMov5dppKLSdU,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/U6_INDEPENDENT_RESERVE_AUTHORIZATION_v1.0.json,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/U6_INDEPENDENT_RESERVE_AUTHORIZATION_v1.0.json,841,true,842,3de26afe6f23915bf089e76d1c55c8a8f2613b1ea37e04e7c887505e52252031
1w9xB56uvLD8tLwKDCkynYnd_ZeQI1VW6,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU6_Independent_Reserve_Protocol_v1.0.txt,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU6_Independent_Reserve_Protocol_v1.0.txt,2817,true,2818,b5a465496c5c3fbeea47dc8549da16ec2939bbd94b4df72014ccc6127f6332d2
1ANpFKvUCQ53Vy4FU7s5Jjtlm0OuBdAI9,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/CMDO_U5F_Release_Manifest_v1.0.json,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/CMDO_U5F_Release_Manifest_v1.0.json,1642,true,1643,13a67bf17846fe8bc478887f38c7ac9858db14d254da9ecda1321c5b3796b6f3
18ECTpZqJPL2-tTtMlIbL5I5rkubM0bD9,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/U5F_OBSERVER_FREEZE_AUTHORIZATION_v1.0.json,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/U5F_OBSERVER_FREEZE_AUTHORIZATION_v1.0.json,731,true,732,db575271aa1a477b19bca2127bedca653a55b7adf5f470b7834271d679b8b951
1-z9TmPdyIrgz-sVCATLb5RFsO6GKS6-e,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/StageU5F_Observer_Freeze_Protocol_v1.0.txt,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/StageU5F_Observer_Freeze_Protocol_v1.0.txt,1290,true,1291,a7ef3bbbd78334a54826e2bead9aedba7bbbca658c893bb8e75aa683a1c72e72
1eZ9yKO2kaXR2ABgXFfHQRL17elVqvlwc,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Run_Identity_v1.0.txt,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Run_Identity_v1.0.txt,687,true,688,e8d8698dd69226091ceb7d76ec0c7601e371d88d5ab68de0b4ec7c49fc85984f
1gKDzRjId-ob3q09U54y-mC8DR1RoAXub,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/CMDO_U5E_Release_Manifest_v1.0.json,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/CMDO_U5E_Release_Manifest_v1.0.json,1670,true,1671,6afc504d1ae8248492f39e1ba622804d25b76808fb0bf6c9a1640eb7767c87c0
1ZtE__TF5V_yKc4IHvEXhUfgfMn0CNTOA,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/U5E_PAIR_COMPLETE_OBSERVER_AUTHORIZATION_v1.0.json,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/U5E_PAIR_COMPLETE_OBSERVER_AUTHORIZATION_v1.0.json,851,true,852,4e678b455757ff822451540ba2a05abc8c1fcbc1c6d613f1ed123f169316d281
1CnjazZW-aFbya2wmc9yh3P1sx5pkmKqJ,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Pair_Complete_Observer_Protocol_v1.0.txt,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Pair_Complete_Observer_Protocol_v1.0.txt,1862,true,1863,067d536f6681bebcc01820f40a9a74ceb0deb82f6815ffb8a4a0d6ed4bfb46bc
1tgEwVhcsQyUWaj3I4lziKRhExElHGCTa,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Implementation_Fix_Manifest_v1.0.1.json,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Implementation_Fix_Manifest_v1.0.1.json,2117,true,2118,db16c6fcce1599d66e645de8a805ff802e1e64bfcbf803de3c50dc7914748369
1Oh_I7w7kKrbpINs5M-NSvsx_xB1SGukY,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_IMPLEMENTATION_AMENDMENT_AUTHORIZATION_v1.0.1.json,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_IMPLEMENTATION_AMENDMENT_AUTHORIZATION_v1.0.1.json,848,true,849,e83d053653dd1e3b33e806746ccd968d4bcec3b068d25e8cc5153a1697d31e74
1ipjHNwQX4zvPzPDkftfEq7P4qEoGkp4M,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Transparent_Implementation_Amendment_v1.0.1.txt,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Transparent_Implementation_Amendment_v1.0.1.txt,1080,true,1081,f6ac66a48ca0d5a24982a7f7eb9c82ab2c1edf73fda999e50c4e790e9c0f8e3f
1-FC6dc72jMf2MUCvwlSUPNGur3Qru76m,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Run_Identity_v1.0.txt,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Run_Identity_v1.0.txt,635,true,636,a7ce4e4df6614851b79db5c526d3d3c16ab4190a9d5305d3ec8ec0dd76b5bd63
1b8l-ycJroqVtlj0uxxnoiBYQKOpjS3In,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Release_Manifest_v1.0.json,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Release_Manifest_v1.0.json,1946,true,1947,1e7884d904bbeed2e8766a8810e595f6fcc3e5bd12cffb7465ee1d29221c61fd
1DnLwdz-psT7EJQfl_Qho52K9nFh88NOU,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_AUTHORIZATION_v1.0.json,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_AUTHORIZATION_v1.0.json,923,true,924,90bc791a3c0f93f00864e38718b57467956ddc9b20b636c05122d4d97fe23618
